游戏名字,游戏链接,解压码/激活码,天翼/迅雷下载链接,百度网盘下载链接,提取码,游戏名称,游戏类型,其他了
孤胆枪手2:传奇/Alien Shooter 2- 传奇,https://lingdiankj.cn/plus/view.php?aid=1667,762487,https://cloud.189.cn/t/Jzu6R3FJVZnu,https://pan.baidu.com/s/1Z_GV_4Yq2Pgum4YPu8exdA,dkt9,孤胆枪手2:传奇/Alien Shooter 2- 传奇,[{"游戏类型":"动作冒险"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/Jzu6R3FJVZnu""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Z_GV_4Yq2Pgum4YPu8exdA""},{""其他了"":""提取码：""},{""其他了"":""dkt9""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
再来一局能否组成最强阵容,https://lingdiankj.cn/plus/view.php?aid=4354,453916,https://cloud.189.cn/t/juiQZ3NBBZ3m,https://pan.baidu.com/s/1lU0P850_igIG6Z1eSMPTOQ,天翼下载方法：,再来一局能否组成最强阵容,[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/juiQZ3NBBZ3m""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1lU0P850_igIG6Z1eSMPTOQ提取码：""},{""其他了"":""509j""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
超级炸弹人R/Super Bomberman R,https://lingdiankj.cn/plus/view.php?aid=3655,null,https://cloud.189.cn/t/YZFVFz3IzIVz,https://pan.baidu.com/s/198ahSJJjADEUhFPRCrYTZQ,天翼下载方法：,超级炸弹人R/Super Bomberman R,[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/YZFVFz3IzIVz""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/198ahSJJjADEUhFPRCrYTZQ提取码：""},{""其他了"":""54hy""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
噬欲之书:谎言与复仇的抒情诗,https://lingdiankj.cn/plus/view.php?aid=1918,712636,https://cloud.189.cn/t/7reAFvmiaaM3,https://pan.baidu.com/s/1qo1gSe56gtsNXTY6l31fUQ,天翼/迅雷下载方法：,噬欲之书:谎言与复仇的抒情诗,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/7reAFvmiaaM3""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1qo1gSe56gtsNXTY6l31fUQ? 提取码：daef""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
极限搬迁/Radical Relocation（v1.5.0）,https://lingdiankj.cn/plus/view.php?aid=2467,646352,https://cloud.189.cn/t/iaIZZnEjiUzm,https://pan.baidu.com/s/172eHDenf1o04lht7IOmVXw,525l,极限搬迁/Radical Relocation（v1.5.0）,[{"游戏类型":""}],"[{""其他了"":""天翼下载链接：https://cloud.189.cn/t/iaIZZnEjiUzm""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/172eHDenf1o04lht7IOmVXw""},{""其他了"":""提取码：""},{""其他了"":""525l""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
"社长,战斗时问到! 魔兽战争/Shachibato! President, Its Time for Battle! Maju Wars（新DLC海王",https://lingdiankj.cn/plus/view.php?aid=4396,332295,https://cloud.189.cn/t/f6ZnauYNFfm2,https://pan.baidu.com/s/1va2n6q1H8iWSc0Rz8DP-wA,天翼下载方法：,"社长,战斗时问到! 魔兽战争/Shachibato! President, Its Time for Battle! Maju Wars（新DLC海王",[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/f6ZnauYNFfm2""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1va2n6q1H8iWSc0Rz8DP-wA提取码：""},{""其他了"":""4k7r""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
梦幻模拟战1+2（重制版）/Langrisser I & II,https://lingdiankj.cn/plus/view.php?aid=3680,879996,https://pan.baidu.com/s/1GXmGah-rxkJ0IBWXkLeEGg,https://pan.baidu.com/s/14V3kGCEV8fqUX_Nqm1sdcQ,null,梦幻模拟战1+2（重制版）/Langrisser I & II,[{"游戏类型":""}],"[{""其他了"":""百度下载链接：https://pan.baidu.com/s/1GXmGah-rxkJ0IBWXkLeEGg""},{""其他了"":""赠品下载链接：https://pan.baidu.com/s/14V3kGCEV8fqUX_Nqm1sdcQ""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
可爱元首/My Cute Fuhrer,https://lingdiankj.cn/plus/view.php?aid=3778,775737,https://cloud.189.cn/t/EjeayiErEjie,https://pan.baidu.com/s/1Ild5Qj-F_i06MACsoeyr5Q,天翼/迅雷下载方法：,可爱元首/My Cute Fuhrer,[{"游戏类型":""}],"[{""其他了"":""下载链接：https://cloud.189.cn/t/EjeayiErEjie""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1Ild5Qj-F_i06MACsoeyr5Q 提取码：negp""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
突袭：二战/RAID: World War II,https://lingdiankj.cn/plus/view.php?aid=4152,459896,https://cloud.189.cn/t/InuU3yYZ3umi,https://pan.baidu.com/s/1Xp83_4bTq7C7FCrry7djvA,天翼下载方法：,突袭：二战/RAID: World War II,[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/InuU3yYZ3umi""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Xp83_4bTq7C7FCrry7djvA提取码：""},{""其他了"":""6rrp""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
Tin & Kuna（vB.5230064）,https://lingdiankj.cn/plus/view.php?aid=2762,118768,https://cloud.189.cn/t/YFbmMvFF3Aja,https://pan.baidu.com/s/1DP7r9MT-9z2SpHls3E5QoQ,天翼/迅雷下载方法：,Tin & Kuna（vB.5230064）,[{"游戏类型":"动作冒险"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/YFbmMvFF3Aja""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1DP7r9MT-9z2SpHls3E5QoQ 提取码：643k""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
开拓者：拥王者 /Pathfinder: Kingmaker（更新v2.1.2b 帝,https://lingdiankj.cn/plus/view.php?aid=2154,955267,https://cloud.189.cn/t/mQ3Y3m7fYJBz,https://pan.baidu.com/s/1AllVUn7VQORCvfWya6CMUg,天翼/迅雷下载方法：,开拓者：拥王者 /Pathfinder: Kingmaker（更新v2.1.2b 帝,[{"游戏类型":"角色扮演"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/mQ3Y3m7fYJBz""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1AllVUn7VQORCvfWya6CMUg 提取码：bw97""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
艾米莉与转转餐厅/Futa Fix Dick Dine and Dash,https://lingdiankj.cn/plus/view.php?aid=3995,772576,https://cloud.189.cn/t/b2EBRjZJFBz2,https://pan.baidu.com/s/1gNsYZVlFA9HqoDG-pFxG5w,天翼下载方法：,艾米莉与转转餐厅/Futa Fix Dick Dine and Dash,[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/b2EBRjZJFBz2""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1gNsYZVlFA9HqoDG-pFxG5w提取码：""},{""其他了"":""wsfd""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
缄默星空/Silent Space,https://lingdiankj.cn/plus/view.php?aid=2690,939172,https://cloud.189.cn/t/J7FRvuJf2MV3,https://pan.baidu.com/s/1j_SmFoYMbwToCheU2OLWTQ,天翼/迅雷下载方法：,缄默星空/Silent Space,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/J7FRvuJf2MV3""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1j_SmFoYMbwToCheU2OLWTQ 提取码：zq3v""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
反恐精英:CS虎王单机版,https://lingdiankj.cn/plus/view.php?aid=1532,582131,https://cloud.189.cn/t/R7jEfqn2a63q,https://pan.baidu.com/s/1bKHzsfnaK85uHTIiLi5gzA,天翼/迅雷下载方法：,反恐精英:CS虎王单机版,"[{""游戏类型"":""射击游戏""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/R7jEfqn2a63q""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1bKHzsfnaK85uHTIiLi5gzA 提取码：nmbs""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
维京：人中之狼/Vikings - Wolves of Midgard（v3350478）,https://lingdiankj.cn/plus/view.php?aid=2034,186422,https://cloud.189.cn/t/e26J7fZRbueq,https://pan.baidu.com/s/14awWZNG6DODnO6BIok6PzQ,天翼/迅雷下载方法：,维京：人中之狼/Vikings - Wolves of Midgard（v3350478）,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""},{""游戏类型"":""格斗游戏""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/e26J7fZRbueq""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/14awWZNG6DODnO6BIok6PzQ? 提取码：yyfy""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
刀剑神域：虚空幻界/Sword Art Online: Hollow Realizat,https://lingdiankj.cn/plus/view.php?aid=1742,877264,https://cloud.189.cn/t/iueqqarMr6Jv,https://pan.baidu.com/s/1dqdZgsBJkX33YYeDDekrvw,8dri,刀剑神域：虚空幻界/Sword Art Online: Hollow Realizat,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼下载链接：https://cloud.189.cn/t/iueqqarMr6Jv""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1dqdZgsBJkX33YYeDDekrvw""},{""其他了"":""提取码：""},{""其他了"":""8dri""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
超市尖叫购物车/Supermarket Shriek（v5682367）,https://lingdiankj.cn/plus/view.php?aid=2166,879476,https://cloud.189.cn/t/q6rey2fiIZvi,https://pan.baidu.com/s/1Y6TQk9Rsxn-jMZx7fGa1xw,天翼/迅雷下载方法：,超市尖叫购物车/Supermarket Shriek（v5682367）,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/q6rey2fiIZvi""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Y6TQk9Rsxn-jMZx7fGa1xw""},{""其他了"":""提取码：cauh""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
养家之人/Family Man,https://lingdiankj.cn/plus/view.php?aid=1907,347793,https://cloud.189.cn/t/NzYJ7f3uUVrq,https://pan.baidu.com/s/1IqtS2nosV33PBWhKx4SiFA,天翼/迅雷下载方法：,养家之人/Family Man,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/NzYJ7f3uUVrq""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1IqtS2nosV33PBWhKx4SiFA? 提取码：xkps""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
刺客信条8：奥德赛/Assassins Creed Odyssey（更新1.53版）,https://lingdiankj.cn/plus/view.php?aid=2258,635175,https://cloud.189.cn/t/NjuuEf7nY7ne,https://pan.baidu.com/s/1dhtCkiyIurceeMwFNShXXA,f0vx,刺客信条8：奥德赛/Assassins Creed Odyssey（更新1.53版）,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/NjuuEf7nY7ne""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1dhtCkiyIurceeMwFNShXXA""},{""其他了"":""提取码:""},{""其他了"":""f0vx""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
